OrderID,Date,Product,Category,Region,Salesperson,Quantity,UnitPrice
1001,2026-01-05,Laptop,Electronics,Chennai,Arun,2,55000
1002,2026-01-08,Mouse,Accessories,Chennai,Priya,5,800
1003,2026-01-12,Keyboard,Accessories,Bangalore,Rahul,3,1500
1004,2026-01-15,Monitor,Electronics,Chennai,Divya,2,12000
1005,2026-02-03,Laptop,Electronics,Bangalore,Karthik,1,55000
1006,2026-02-10,Mouse,Accessories,Hyderabad,Meena,8,800
1007,2026-02-14,Keyboard,Accessories,Chennai,Vijay,6,1500
1008,2026-02-20,Monitor,Electronics,Bangalore,Anitha,3,12000
1009,2026-03-02,Laptop,Electronics,Hyderabad,Suresh,2,55000
1010,2026-03-07,Mouse,Accessories,Chennai,Lakshmi,10,800
1011,2026-03-12,Monitor,Electronics,Hyderabad,Arun,2,12000
1012,2026-03-18,Keyboard,Accessories,Bangalore,Priya,4,1500
1013,2026-04-05,Laptop,Electronics,Chennai,Rahul,3,55000
1014,2026-04-11,Mouse,Accessories,Bangalore,Divya,7,800
1015,2026-04-20,Monitor,Electronics,Chennai,Karthik,4,12000
